city,country,lat,lng,max_temp,humidity,cloudiness,wind_speed,date
Joura,IN,26.3411,77.8115,85.57,8,18,1.52,1619655931
Kholtoson,RU,50.2981,103.3097,35.1,80,99,3.06,1619655931
Kailua,US,21.4022,-157.7394,80.6,69,90,9.22,1619655932
Harfleur,FR,49.5066,0.1983,44.6,87,90,8.05,1619655932
Samarai,PG,-10.6167,150.6667,80.33,71,100,11.16,1619655932
Tagbac,PH,7.089,125.1567,82.4,78,75,6.91,1619655933
Ashland,US,40.8167,-82.2665,73.4,60,90,16.11,1619655933
Cururupu,BR,-1.8283,-44.8683,75.2,89,100,2.84,1619655933
Ocós,GT,14.5094,-92.1933,82.4,83,90,3.44,1619655934
Hasaki,JP,35.7333,140.8333,63.0,94,75,5.75,1619655934
Sur,OM,22.5667,59.5289,85.5,39,98,3.29,1619655934
Huarmey,PE,-10.0681,-78.1522,68.13,86,21,9.51,1619655885
Tecolutla,MX,20.4833,-97.0167,86.0,66,40,11.5,1619655935
Coquimbo,CL,-29.9533,-71.3436,57.2,88,0,3.78,1619655935
Arkhangel’skoye,RU,55.8549,35.3287,29.35,92,35,5.28,1619655935
Brae,GB,60.3964,-1.353,37.4,87,40,10.36,1619655936
Souillac,MU,-20.5167,57.5167,77.0,83,75,11.5,1619655936
Şabrātah,LY,32.7933,12.4885,71.19,59,88,12.08,1619655936
Madison,US,34.7334,-86.5667,77.0,61,90,3.44,1619655757
Alma,CA,48.5501,-71.6491,59.0,36,75,6.91,1619655832
Saryg-Sep,RU,51.5,95.6,43.79,89,97,5.06,1619655937
Ryōtsu-minato,JP,38.0833,138.4333,55.4,100,75,5.75,1619655937
Samarinda,ID,-0.5,117.15,76.93,92,99,0.81,1619655938
Lázaro Cárdenas,MX,17.9583,-102.2,81.54,68,66,11.79,1619655938
Atar,MR,20.5169,-13.0499,83.79,20,93,4.03,1619655938
Tegul'det,RU,57.3064,88.1667,38.98,93,67,8.05,1619655939
Fare,PF,-16.7,-151.0167,81.73,73,42,9.62,1619655939
Kendari,ID,-3.945,122.4989,81.01,74,70,0.4,1619655939
Tarrafal,CV,15.2833,-23.7667,71.6,73,40,14.97,1619655940
Buraidah,SA,26.326,43.975,71.6,56,20,4.61,1619655940
Oyama,JP,36.3,139.8,66.0,88,75,6.91,1619655940
Colonia Nueva Germania,PY,-23.9,-56.5667,59.5,55,63,4.07,1619655940
Rio Brilhante,BR,-21.8019,-54.5464,66.07,35,43,8.95,1619655941
Hereford,GB,52.0568,-2.7148,39.99,59,46,6.44,1619655703
Sterlibashevo,RU,53.4376,55.2578,36.25,88,65,7.61,1619655941
Lamu,KE,-2.2717,40.902,79.54,85,5,6.87,1619655942
Poykovskiy,RU,61.2333,73.3333,37.4,100,75,2.24,1619655942
Nishihara,JP,26.1842,127.7558,73.4,83,90,14.97,1619655891
Lodwar,KE,3.1191,35.5973,82.96,52,67,15.26,1619655942
Naters,CH,46.3254,7.9891,53.01,94,100,5.01,1619655943
Beloha,MG,-25.1667,45.05,69.75,90,0,5.14,1619655943
Clyde River,CA,70.4692,-68.5914,23.0,93,1,10.36,1619655944
Bandarbeyla,SO,9.4942,50.8122,82.81,78,20,4.18,1619655851
Norman Wells,CA,65.282,-126.8329,33.8,47,1,19.57,1619655944
Auki,SB,-8.7676,160.7034,84.38,65,53,2.51,1619655944
Clovis,US,36.8252,-119.7029,82.99,17,20,3.44,1619655942
Biltine,TD,14.5333,20.9167,84.16,10,83,9.08,1619655945
Peleduy,RU,59.6289,112.7406,27.63,81,33,7.18,1619655945
Saint Paul Harbor,US,57.79,-152.4072,44.6,93,90,6.91,1619655723
Georgiyevka,KZ,43.0369,74.7114,57.2,62,0,6.71,1619655946
Oranjemund,NA,-28.55,16.4333,58.28,89,34,15.7,1619655946
Nioro,GM,13.35,-15.75,80.04,31,25,10.47,1619655861
Makat,KZ,47.6469,53.3463,48.94,70,87,13.44,1619655946
Maltahöhe,NA,-24.8333,16.9833,63.03,39,0,7.58,1619655947
Harper,LR,4.375,-7.7169,80.24,83,56,5.97,1619655947
Porto Santo,PT,33.072,-16.3415,62.6,67,75,3.44,1619655947
Udachny,RU,66.4167,112.4,28.89,85,49,6.22,1619655948
Kyzyl-Suu,KG,42.3414,78.0056,50.65,43,0,8.5,1619655948
Katherine,AU,-14.4667,132.2667,84.2,61,20,10.36,1619655948
Cedar City,US,37.6775,-113.0619,61.0,25,1,21.85,1619655855
Tilichiki,RU,60.4667,166.1,30.81,96,99,5.08,1619655949
Nizwá,OM,22.9333,57.5333,82.36,29,99,3.02,1619655949
Usinsk,RU,65.9939,57.5281,27.75,86,99,9.13,1619655949
The Valley,AI,18.217,-63.0578,75.2,78,75,1.14,1619655906
Lenger,KZ,42.183,69.8839,59.0,58,0,4.47,1619655950
Rochegda,RU,62.8,43.25,29.12,81,100,4.43,1619655950
Severnyy-Kospashskiy,RU,59.0925,57.8008,37.0,100,100,1.99,1619655950
Edéia,BR,-17.3383,-49.9314,70.63,30,52,3.78,1619655951
